locale is "es_ES.UTF-8"
locale charset is "UTF-8"
locale is "es_ES.UTF-8"
locale charset is "UTF-8"
1> 2> Name	Owner	Object_type
GC_GrupoPreguntas	dbo	user table
GC_Hora_Sistema	dbo	user table
GC_Informe	dbo	user table
Gc_MetasEjecutivos_SC	dbo	user table
GC_PeriodoComisionEjeMantencion	dbo	user table
GC_Pregunta	dbo	user table
GC_Pregunta_bkp	dbo	user table
Gc_ProrrogaEmpresa	dbo	user table
Gc_ReliquidaComJefeVenta	dbo	user table
Gc_ReliquidaEjecutivoVenta	dbo	user table
Gc_ReliquidaEjecutivoVenta_RespaldoAgosto	dbo	user table
Gc_ReliquidaEjecutivoVenta_V2	dbo	user table
Gc_ReliquidaJefeRegional	dbo	user table
GC_SemanasPeriodo	dbo	user table
GC_Semestre	dbo	user table
Gc_Semestre_20111114	dbo	user table
gc_simulador	dbo	user table
GC_Tipo_Cliente	dbo	user table
GC_Tipo_Ejecutivo	dbo	user table
GC_TipoEvaluacion	dbo	user table
GC_TipoMeta	dbo	user table
GC_Trimestre	dbo	user table
GC_Ubicacion_Geografica	dbo	user table
GC_UltimaCarter188	dbo	user table
GC_UltimaCartera	dbo	user table
gc_ultimacartera_bkp	dbo	user table
GC_UltimaCartera_temp	dbo	user table
GC_UltimaCartera153	dbo	user table
GC_UltimaCartera168	dbo	user table
GC_UltimaCartera173	dbo	user table
GC_UltimaCartera175	dbo	user table
GC_UltimaCartera181	dbo	user table
GC_UltimaCartera184	dbo	user table
GC_UltimaCartera20111114	dbo	user table
GC_UltimaCartera20120213	dbo	user table
GC_UltimaCarteraRespaldo	dbo	user table
GC_Zona	dbo	user table
GesT_FilialesHolding	dbo	user table
GesT_Holding	dbo	user table
GesT_PoblacionPeriodo	dbo	user table
GlbT_Comunas	dbo	user table
GlbT_Documentos	dbo	user table
GlbT_Giros	dbo	user table
GlbT_Monedas	dbo	user table
GlbT_Periodos	dbo	user table
GlbT_ValorDiario	dbo	user table
HabT_Beneficiarios2011	dbo	user table
HabT_Beneficiarios2012	dbo	user table
HabT_BeneficiariosMigracion	dbo	user table
HabT_BonificacionCar	dbo	user table
HabT_BonificacionDet	dbo	user table
HabT_BonificacionPre	dbo	user table
HabT_Colillas	dbo	user table
HabT_EntidadPlanes	dbo	user table
HabT_Migracion_Habitat	dbo	user table
HabT_ModulosBeneficiarios2011	dbo	user table
HabT_ModulosBeneficiarios2012	dbo	user table
Habt_ReglasPrestacion2011	dbo	user table
Habt_ReglasPrestacion2012	dbo	user table
HabT_SbeT_BonificacionCar	dbo	user table
HabT_SistemaBonificacion2011	dbo	user table
HabT_SistemaBonificacion2012	dbo	user table
HabT_SistemaPrestacion2011	dbo	user table
HabT_SistemaPrestacion2012	dbo	user table
Hist_AcumulaTopes	dbo	user table
HisT_BonificacionCar	dbo	user table
HisT_BonificacionDet	dbo	user table
HisT_BonificacionPre	dbo	user table
