locale is "es_ES.UTF-8"
locale charset is "UTF-8"
locale is "es_ES.UTF-8"
locale charset is "UTF-8"
1> 2> Name	Owner	Object_type
BONO_FALTA	dbo	user table
BONO_IQNOSAP	dbo	user table
BONO_NOENESTRUCT_INTER	dbo	user table
BONO_SIN_COMPENSA	dbo	user table
BONO_UPDATE_99999999	dbo	user table
BON_20081217	dbo	user table
BON_AUTORIZA	dbo	user table
BON_CAR	dbo	user table
BON_CDT	dbo	user table
BON_CDT_HIS	dbo	user table
BON_CDT_PASO	dbo	user table
BON_COBRADO_CERO	dbo	user table
BON_DET	dbo	user table
BON_ESTADO	dbo	user table
BON_GES	dbo	user table
BON_HIS	dbo	user table
BON_IMED_NOESTANSAP	dbo	user table
BON_IMED_NOESTANSAP15042010	dbo	user table
BON_IQNOSAP_NOAMB	dbo	user table
BON_IVB	dbo	user table
BON_PASO	dbo	user table
BON_PIA	dbo	user table
BON_SI	dbo	user table
BSEAUTORIZADOS	dbo	user table
BSEINDIVIDUO	dbo	user table
BSEMOTIVO	dbo	user table
BSEORIGEN	dbo	user table
BSE_ALPHA	dbo	user table
BUSCAABONO	dbo	user table
BUUF_012008	dbo	user table
BUUF_012008_RES	dbo	user table
B_USUARIOS	dbo	user table
Bon_Anular	dbo	user table
Bono_Temp	dbo	user table
Bonocaduco	dbo	user table
Bonocaduco2010259	dbo	user table
Bonocaduco201027	dbo	user table
Bonocaduco201029	dbo	user table
Bonos_Costos	dbo	user table
CADIDATOS_RENOTIFICACION	dbo	user table
CAECRELAC	dbo	user table
CAEC_ESTUDIO	dbo	user table
CAEC_MAYO	dbo	user table
CAEC_MAYO_2	dbo	user table
CAEC_METRIC	dbo	user table
CAGAZO	dbo	user table
CAGAZO2	dbo	user table
CAJA_SAP	dbo	user table
CAJ_ACCION	dbo	user table
CAJ_AUDITDOCUM	dbo	user table
CAJ_AUDITORIA	dbo	user table
CAJ_AUDIT_UNIVERSO	dbo	user table
CAJ_AUTERROR	dbo	user table
CAJ_BANCO	dbo	user table
CAJ_BANCOSUC	dbo	user table
CAJ_BLOQUEOOPA	dbo	user table
CAJ_CABECERA_ACCION	dbo	user table
CAJ_CAMBCHEQ	dbo	user table
CAJ_CHEQUE	dbo	user table
CAJ_CIERRE	dbo	user table
CAJ_CLASEERROR	dbo	user table
CAJ_CORREL	dbo	user table
CAJ_DEPBANCARIO	dbo	user table
CAJ_DEPDETBANCARIO	dbo	user table
CAJ_DEPOSITO	dbo	user table
CAJ_DETALLENCND	dbo	user table
CAJ_DETALLE_ACCION	dbo	user table
CAJ_DEVMOTIVO	dbo	user table
CAJ_DOCUM	dbo	user table
CAJ_EGRESO	dbo	user table
CAJ_EGRESO_PASO	dbo	user table
CAJ_ELICOMPING	dbo	user table
CAJ_ELIOTROINGRE	dbo	user table
CAJ_ELIPLANILLA	dbo	user table
CAJ_ERROR	dbo	user table
CAJ_ERRORES	dbo	user table
CAJ_ERRORFPAGO	dbo	user table
CAJ_ESTADO	dbo	user table
CAJ_FOFICAJERO	dbo	user table
CAJ_FOLIO	dbo	user table
CAJ_FORPAG	dbo	user table
CAJ_GLSDEPOSITO	dbo	user table
CAJ_INITURNO	dbo	user table
CAJ_INTREAJ	dbo	user table
CAJ_INTREAJAUX	dbo	user table
CAJ_MALPAGO	dbo	user table
CAJ_NOCOMP	dbo	user table
CAJ_NOTACREDITO	dbo	user table
CAJ_OINGRE	dbo	user table
CAJ_OPCIONCREDITO	dbo	user table
CAJ_OPORPAG	dbo	user table
CAJ_ORIPAG	dbo	user table
CAJ_OTROINGRE	dbo	user table
CAJ_PAGOS	dbo	user table
CAJ_PAGOS_MAFA	dbo	user table
CAJ_PARAMEGRESO	dbo	user table
CAJ_PLANILLA	dbo	user table
CAJ_PLATIPPAG	dbo	user table
CAJ_PLAZA	dbo	user table
CAJ_PRIVILEGIO	dbo	user table
CAJ_REGMOD	dbo	user table
CAJ_REIMCIESUC	dbo	user table
CAJ_REMESA	dbo	user table
CAJ_REMREV	dbo	user table
CAJ_RENFONFI	dbo	user table
CAJ_RENFONFI_PASO	dbo	user table
CAJ_REVERSA	dbo	user table
CAJ_RTRANSBANK	dbo	user table
CAJ_SEGCOMPLE	dbo	user table
CAJ_SUC	dbo	user table
CAJ_TIPERROR	dbo	user table
CAJ_TIPMOD	dbo	user table
CAJ_TIPOBLOQUEO	dbo	user table
CAJ_TIPODOC	dbo	user table
CAJ_TIPPAG	dbo	user table
CAJ_TIPPAGOPLANILLA	dbo	user table
CAJ_TRAZA	dbo	user table
CAJ_USERCAJA	dbo	user table
CAJ_USERDEV	dbo	user table
CAJ_USERJEFE	dbo	user table
CAJ_VALORES	dbo	user table
CALIDAD	dbo	user table
CAMBIOCTOS	dbo	user table
CAMBIOS_SUCURPAG_LCC	dbo	user table
CANDESAF	dbo	user table
CANDIDATOS_RENOTIFICACION	dbo	user table
CARGAEXC	dbo	user table
CARGAEXC2	dbo	user table
CARGAEXC3	dbo	user table
CARGAEXC4	dbo	user table
CARGAS_BENEFICIARIAS	dbo	user table
CARGA_GENERICA_ARCHIVOS	dbo	user table
CARTAS	dbo	user table
CARTAS_COL	dbo	user table
CARTAS_COL_AUX	dbo	user table
